GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
978655,Adams,Town,5143,2126,42.4,Jefferson,North Country Region,1,1800,85,1,2000,94,1,0,0,3,2000,94,4,2000,94,4
942159,Adams,Village,1775,793,1.5,Jefferson,North Country Region,1,760,96,1,760,96,1,0,0,3,760,96,3,760,96,4
978656,Addison,Town,2595,1159,25.7,Steuben,Southern Tier Region,1,950,82,1,1000,86,1,0,0,3,1000,86,3,1100,95,4
942177,Addison,Village,1763,770,1.9,Steuben,Southern Tier Region,1,740,96,1,740,96,1,0,0,3,740,96,2,740,96,4
978657,Afton,Town,2851,1457,46.7,Chenango,Southern Tier Region,2,1100,75,2,1400,96,0,0,0,4,1400,96,6,1400,96,4
942198,Afton,Village,822,430,1.7,Chenango,Southern Tier Region,1,410,95,1,410,95,0,0,0,2,410,95,4,410,95,4
979664,Airmont,Village,8628,2791,4.5,Rockland,Mid-Hudson Region,1,2700,97,2,2700,97,5,2600,93,7,2700,97,4,2700,97,4
942224,Akron,Village,2868,1382,1.9,Erie,Western NY Region,1,1300,94,1,1300,94,1,0,0,3,1300,94,5,1300,94,4
978658,Alabama,Town,1869,765,52,Genesee,Finger Lakes Region,1,670,88,2,600,78,0,0,0,3,720,94,6,740,97,4
978659,Albany,City,97856,46362,21.9,Albany,Capital Region,1,44900,97,1,44600,96,7,250,1,8,44900,97,6,44900,97,4
974099,Albany,County,304204,137739,532.9,Albany,Capital Region,2,131000,95,3,115000,83,9,47300,34,11,131000,95,8,133000,97,4
978660,Albion,Town,8468,2800,25.4,Orleans,Finger Lakes Region,1,2700,96,1,2600,93,1,0,0,3,2700,96,4,2700,96,4
978661,Albion,Town,2073,881,47.8,Oswego,Central NY Region,1,400,45,2,810,92,0,0,0,3,830,94,3,850,96,4
942246,Albion,Village,6056,2714,2.9,Orleans,Finger Lakes Region,1,2600,96,1,2500,92,1,0,0,3,2600,96,3,2600,96,4
978662,Alden,Town,10865,3507,34.6,Erie,Western NY Region,1,3400,97,1,3300,94,1,0,0,3,3400,97,6,3400,97,4
942255,Alden,Village,2605,1173,2.7,Erie,Western NY Region,1,1100,94,1,1100,94,0,0,0,2,1100,94,4,1100,94,4
978663,Alexander,Town,2534,1005,35.6,Genesee,Finger Lakes Region,1,900,90,3,750,75,0,0,0,4,930,93,6,970,97,4
942301,Alexander,Village,509,195,0.4,Genesee,Finger Lakes Region,1,180,92,1,160,82,0,0,0,2,180,92,3,180,92,4
978664,Alexandria,Town,4061,3419,84.4,Jefferson,North Country Region,1,320,9,2,2500,73,1,2400,70,4,2900,85,4,3100,91,4
942309,Alexandria Bay,Village,1078,700,1.5,Jefferson,North Country Region,1,10,1,1,650,93,1,660,94,3,670,96,3,650,93,4
978665,Alfred,Town,5237,1165,31.6,Allegany,Western NY Region,1,970,83,1,1100,94,2,0,0,4,1100,94,3,1100,94,4
942313,Alfred,Village,4174,581,1.2,Allegany,Western NY Region,1,560,96,1,560,96,1,0,0,3,560,96,2,560,96,4
974100,Allegany,County,48946,26140,1035.2,Allegany,Western NY Region,1,15500,59,3,15900,61,2,0,0,6,19900,76,4,25100,96,4
978666,Allegany,Town,8004,2890,72.2,Cattaraugus,Western NY Region,1,2400,83,1,2400,83,1,0,0,3,2700,93,3,2800,97,4
942341,Allegany,Village,1816,826,0.7,Cattaraugus,Western NY Region,1,800,97,1,790,96,1,0,0,3,800,97,3,800,97,4
978667,Allegany Reservation,Tribal Community,1020,458,43.7,Cattaraugus,Western NY Region,1,220,48,2,390,85,1,0,0,4,390,85,3,440,96,4
978668,Allen,Town,448,475,36.6,Allegany,Western NY Region,0,0,0,1,120,25,0,0,0,1,120,25,4,460,97,4
978669,Alma,Town,842,595,36.5,Allegany,Western NY Region,1,120,20,1,220,37,0,0,0,2,290,49,2,450,76,4
978670,Almond,Town,1633,805,45.8,Allegany,Western NY Region,1,550,68,2,640,80,2,0,0,5,690,86,4,780,97,4
942389,Almond,Village,466,212,0.6,Allegany,Western NY Region,1,200,94,2,200,94,1,0,0,4,200,94,3,200,94,4
942397,Altamont,Village,1720,713,1.1,Albany,Capital Region,1,690,97,1,680,95,0,0,0,2,690,97,4,690,97,4
942401,Altmar,Village,407,165,2.2,Oswego,Central NY Region,1,150,91,1,160,97,0,0,0,2,160,97,2,160,97,4
978672,Altona,Town,2887,1170,101.4,Clinton,North Country Region,2,780,67,3,830,71,2,150,13,5,960,82,5,1100,94,4
978673,Amboy,Town,1263,659,37.7,Oswego,Central NY Region,1,120,18,2,470,71,0,0,0,3,540,82,3,630,96,4
978674,Amenia,Town,4436,2045,43.7,Dutchess,Mid-Hudson Region,1,1900,93,1,1700,83,2,0,0,4,1900,93,5,1900,93,4
942431,Ames,Village,145,66,0.1,Montgomery,Mohawk Valley Region,1,60,91,1,60,91,0,0,0,2,60,91,3,60,91,4
978675,Amherst,Town,122366,51179,53.6,Erie,Western NY Region,1,49600,97,1,41000,80,4,45600,89,5,49600,97,6,49600,97,4
978676,Amity,Town,2308,1172,34.6,Allegany,Western NY Region,1,930,79,1,980,84,1,0,0,3,1000,85,4,1100,94,4
942440,Amityville,Village,9523,3997,2.4,Suffolk,Long Island Region,1,3800,95,2,3700,93,4,3800,95,6,3800,95,4,3800,95,4
978677,Amsterdam,City,18620,9218,6.2,Montgomery,Mohawk Valley Region,1,8900,97,1,8800,95,0,0,0,2,8900,97,3,8900,97,4
978678,Amsterdam,Town,5566,2520,30.3,Montgomery,Mohawk Valley Region,1,2400,95,3,2300,91,1,0,0,5,2400,95,4,2400,95,4
978679,Ancram,Town,1573,1010,42.7,Columbia,Capital Region,1,140,14,1,970,96,0,0,0,2,970,96,6,970,96,4
978680,Andes,Town,1301,1459,112.1,Delaware,Southern Tier Region,1,330,23,3,1300,89,0,0,0,4,1300,89,3,1100,75,4
978681,Andover,Town,1830,898,39.5,Allegany,Western NY Region,1,650,72,2,840,94,1,0,0,4,840,94,3,870,97,4
942463,Andover,Village,1042,461,1,Allegany,Western NY Region,1,440,95,1,440,95,1,0,0,3,440,95,2,440,95,4
978682,Angelica,Town,1403,836,36.5,Allegany,Western NY Region,1,650,78,1,0,0,1,0,0,3,660,79,4,810,97,4
942478,Angelica,Village,869,397,2.1,Allegany,Western NY Region,1,380,96,0,0,0,0,0,0,1,380,96,4,380,96,4
942483,Angola,Village,2127,909,1.3,Erie,Western NY Region,1,880,97,1,880,97,1,0,0,3,880,97,5,880,97,4
978683,Annsville,Town,3012,1232,60.5,Oneida,Mohawk Valley Region,1,940,76,1,900,73,0,0,0,2,1000,81,4,1100,89,4
978684,Antwerp,Town,1846,772,108.6,Jefferson,North Country Region,1,330,43,1,180,23,0,0,0,2,520,67,4,740,96,4
942514,Antwerp,Village,686,290,1.1,Jefferson,North Country Region,1,280,97,0,0,0,0,0,0,1,280,97,4,280,97,4
978685,Arcade,Town,4205,1975,47.1,Wyoming,Finger Lakes Region,1,1400,71,1,1500,76,1,0,0,3,1600,81,4,1900,96,4
942534,Arcade,Village,2071,935,2.6,Wyoming,Finger Lakes Region,1,900,96,1,900,96,1,0,0,3,900,96,3,900,96,4
978686,Arcadia,Town,14244,6194,52.1,Wayne,Finger Lakes Region,1,5800,94,2,5500,89,3,0,0,6,5800,94,5,6000,97,4
942544,Ardsley,Village,4452,1639,1.3,Westchester,Mid-Hudson Region,1,1500,92,2,1500,92,4,1500,92,6,1500,92,4,1500,92,4
978687,Argyle,Town,3782,1879,57.8,Washington,Capital Region,1,1300,69,1,290,15,0,0,0,2,1300,69,6,1800,96,4
942550,Argyle,Village,306,144,0.3,Washington,Capital Region,1,130,90,0,0,0,0,0,0,1,130,90,5,130,90,4
978688,Arietta,Town,304,726,329,Hamilton,North Country Region,1,0,0,1,560,77,0,0,0,2,580,80,2,0,0,4
942554,Arkport,Village,844,379,0.7,Steuben,Southern Tier Region,1,360,95,1,360,95,0,0,0,2,360,95,3,360,95,4
978689,Arkwright,Town,1061,539,35.8,Chautauqua,Western NY Region,1,70,13,2,410,76,1,0,0,4,410,76,5,520,96,4
942621,Asharoken,Village,654,302,1.5,Suffolk,Long Island Region,1,290,96,1,240,79,1,290,96,2,290,96,4,240,79,4
978690,Ashford,Town,2132,1044,51.4,Cattaraugus,Western NY Region,0,0,0,2,940,90,1,0,0,3,940,90,4,1000,96,4
978691,Ashland,Town,1695,762,14.7,Chemung,Southern Tier Region,1,600,79,1,440,58,2,60,8,4,720,94,4,730,96,4
978692,Ashland,Town,784,679,25,Greene,Capital Region,1,640,94,1,410,60,1,0,0,2,640,94,4,650,96,4
978693,Athens,Town,4089,2248,28.9,Greene,Capital Region,1,2100,93,2,1900,85,1,0,0,3,2100,93,5,2100,93,4
942663,Athens,Village,1668,885,4.7,Greene,Capital Region,1,850,96,2,790,89,1,0,0,3,850,96,5,850,96,4
942673,Atlantic Beach,Village,1891,1091,0.7,Nassau,Long Island Region,1,1000,92,2,1000,92,3,1000,92,5,1000,92,4,1000,92,4
978694,Attica,Town,7702,1729,36.1,Wyoming,Finger Lakes Region,1,1400,81,2,1500,87,1,0,0,4,1600,93,5,1600,93,4
942677,Attica,Village,2547,1166,1.7,Genesee,Finger Lakes Region,1,1100,94,1,1100,94,1,0,0,3,1100,94,3,1100,94,4
978695,Auburn,City,27687,12639,8.4,Cayuga,Central NY Region,1,12200,97,1,11400,90,3,11900,94,4,12200,97,5,12200,97,4
978696,Augusta,Town,2020,857,27.7,Oneida,Mohawk Valley Region,1,630,74,3,820,96,0,0,0,4,830,97,4,830,97,4
978697,Aurelius,Town,2792,1303,32,Cayuga,Central NY Region,1,1100,84,1,1000,77,2,460,35,3,1200,92,5,1200,92,4
978698,Aurora,Town,13782,5843,36.5,Erie,Western NY Region,1,5600,96,1,5500,94,2,0,0,3,5600,96,6,5600,96,4
942707,Aurora,Village,724,211,0.9,Cayuga,Central NY Region,1,200,95,0,0,0,0,0,0,1,200,95,3,200,95,4
978699,Ausable,Town,3146,1473,43.8,Clinton,North Country Region,1,1300,88,2,1300,88,0,0,0,3,1400,95,5,1400,95,4
978700,Austerlitz,Town,1654,1082,48.8,Columbia,Capital Region,0,0,0,2,1000,92,0,0,0,2,1000,92,6,1000,92,4
978701,Ava,Town,676,301,37.6,Oneida,Mohawk Valley Region,1,110,37,2,160,53,0,0,0,3,210,70,4,290,96,4
978702,Avoca,Town,2264,1069,36.3,Steuben,Southern Tier Region,1,900,84,2,0,0,1,0,0,4,910,85,3,1000,94,4
942735,Avoca,Village,946,393,1.2,Steuben,Southern Tier Region,1,380,97,0,0,0,1,0,0,2,380,97,3,380,97,4
978703,Avon,Town,7164,3115,41.2,Livingston,Finger Lakes Region,1,2900,93,1,3000,96,2,0,0,4,3000,96,5,3000,96,4
942736,Avon,Village,3394,1496,2.9,Livingston,Finger Lakes Region,1,1400,94,1,1400,94,2,0,0,4,1400,94,5,1400,94,4
978704,Babylon,Town,213603,74233,102.1,Suffolk,Long Island Region,1,71900,97,2,64900,87,4,66900,90,6,72000,97,6,71700,97,4
942756,Babylon,Village,12166,4768,2.9,Suffolk,Long Island Region,1,4600,96,2,4600,96,3,1100,23,5,4600,96,5,4500,94,4
978705,Bainbridge,Town,3308,1554,34.8,Chenango,Southern Tier Region,1,1300,84,2,1400,90,0,0,0,3,1500,97,5,1500,97,4
942805,Bainbridge,Village,1355,647,1.3,Chenango,Southern Tier Region,1,620,96,1,620,96,0,0,0,2,620,96,4,620,96,4
978706,Baldwin,Town,832,388,25.8,Chemung,Southern Tier Region,1,20,5,2,250,64,0,0,0,3,270,70,5,370,95,4
942909,Baldwinsville,Village,7378,3274,3.2,Onondaga,Central NY Region,1,3100,95,1,2600,79,2,3100,95,3,3100,95,6,3100,95,4
978707,Ballston,Town,9776,3914,30.2,Saratoga,Capital Region,1,3700,95,1,3600,92,2,0,0,4,3700,95,5,3700,95,4
969840,Ballston Spa,Village,5409,2421,1.6,Saratoga,Capital Region,1,2300,95,1,2300,95,2,0,0,4,2300,95,5,2300,95,4
