Region,County
Capital Region,Albany
Capital Region,Columbia
Capital Region,Greene
Capital Region,Rensselaer
Capital Region,Saratoga
Capital Region,Schenectady
Capital Region,Warren
Capital Region,Washington
Central New York,Cayuga
Central New York,Cortland
Central New York,Madison
Central New York,Onondaga
Central New York,Oswego
Finger Lakes,Genesee
Finger Lakes,Livingston
Finger Lakes,Monroe
Finger Lakes,Ontario
Finger Lakes,Orleans
Finger Lakes,Seneca
Finger Lakes,Wayne
Finger Lakes,Wyoming
Finger Lakes,Yates
Hudson Valley,Dutchess
Hudson Valley,Orange
Hudson Valley,Putnam
Hudson Valley,Rockland
Hudson Valley,Sullivan
Hudson Valley,Ulster
Hudson Valley,Westchester
Long Island,Nassau
Long Island,Suffolk
Mohawk Valley,Fulton
Mohawk Valley,Herkimer
Mohawk Valley,Montgomery
Mohawk Valley,Oneida
Mohawk Valley,Otsego
Mohawk Valley,Schoharie
New York City,Bronx
New York City,Kings
New York City,New York
New York City,Queens
New York City,Richmond
North Country,Clinton
North Country,Essex
North Country,Franklin
North Country,Hamilton
North Country,Jefferson
North Country,Lewis
North Country,St. Lawrence
Southern Tier,Broome
Southern Tier,Chemung
Southern Tier,Chenango
Southern Tier,Delaware
Southern Tier,Schuyler
Southern Tier,Steuben
Southern Tier,Tioga
Southern Tier,Tompkins
Western New York,Allegany
Western New York,Cattaraugus
Western New York,Chautauqua
Western New York,Erie
Western New York,Niagara
