"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2020","00","00000","United States","321,478,113","38,371,394","38,309,115","38,433,673","38,309,115 to 38,433,673","11.9","11.9","11.9","11.9 to 11.9","71,388,957","11,204,423","11,176,652","11,232,194","11,176,652 to 11,232,194","15.7","15.7","15.7","15.7 to 15.7","52,357,364","7,798,566","7,778,138","7,818,994","7,778,138 to 7,818,994","14.9","14.9","14.9","14.9 to 14.9","18,752,913","3,146,325","3,133,736","3,158,914","3,133,736 to 3,158,914","16.8","16.7","16.9","16.7 to 16.9","$67,340","$67,251","$67,429","$67,251 to $67,429"
"2020","36","36000","New York","18,840,599","2,401,141","2,360,458","2,441,824","2,360,458 to 2,441,824","12.7","12.5","12.9","12.5 to 12.9","3,909,294","653,300","631,185","675,415","631,185 to 675,415","16.7","16.1","17.3","16.1 to 17.3","2,819,043","460,210","441,138","479,282","441,138 to 479,282","16.3","15.6","17.0","15.6 to 17.0","1,078,037","180,596","170,262","190,930","170,262 to 190,930","16.8","15.8","17.8","15.8 to 17.8","$73,354","$72,798","$73,910","$72,798 to $73,910"
"2020","36","36001","Albany County (NY)","288,649","32,736","28,920","36,552","28,920 to 36,552","11.3","10.0","12.6","10.0 to 12.6","54,050","6,739","5,061","8,417","5,061 to 8,417","12.5","9.4","15.6","9.4 to 15.6","39,467","4,672","3,518","5,826","3,518 to 5,826","11.8","8.9","14.7","8.9 to 14.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$70,629","$67,207","$74,051","$67,207 to $74,051"
"2020","36","36003","Allegany County (NY)","41,445","6,238","4,913","7,563","4,913 to 7,563","15.1","11.9","18.3","11.9 to 18.3","8,973","1,888","1,371","2,405","1,371 to 2,405","21.0","15.2","26.8","15.2 to 26.8","6,552","1,352","967","1,737","967 to 1,737","20.6","14.7","26.5","14.7 to 26.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,371","$49,323","$57,419","$49,323 to $57,419"
"2020","36","36005","Bronx County (NY)","1,365,028","333,670","312,690","354,650","312,690 to 354,650","24.4","22.9","25.9","22.9 to 25.9","335,616","102,630","92,287","112,973","92,287 to 112,973","30.6","27.5","33.7","27.5 to 33.7","240,429","72,667","65,242","80,092","65,242 to 80,092","30.2","27.1","33.3","27.1 to 33.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,906","$43,149","$46,663","$43,149 to $46,663"
"2020","36","36007","Broome County (NY)","178,850","32,931","29,572","36,290","29,572 to 36,290","18.4","16.5","20.3","16.5 to 20.3","35,386","8,416","6,788","10,044","6,788 to 10,044","23.8","19.2","28.4","19.2 to 28.4","25,888","6,228","5,080","7,376","5,080 to 7,376","24.1","19.7","28.5","19.7 to 28.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,510","$47,493","$57,527","$47,493 to $57,527"
"2020","36","36009","Cattaraugus County (NY)","73,486","11,951","10,244","13,658","10,244 to 13,658","16.3","14.0","18.6","14.0 to 18.6","16,325","3,594","2,779","4,409","2,779 to 4,409","22.0","17.0","27.0","17.0 to 27.0","12,048","2,502","1,923","3,081","1,923 to 3,081","20.8","16.0","25.6","16.0 to 25.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,824","$46,527","$57,121","$46,527 to $57,121"
"2020","36","36011","Cayuga County (NY)","72,249","8,481","7,072","9,890","7,072 to 9,890","11.7","9.8","13.6","9.8 to 13.6","14,185","2,167","1,551","2,783","1,551 to 2,783","15.3","11.0","19.6","11.0 to 19.6","10,398","1,522","1,069","1,975","1,069 to 1,975","14.6","10.2","19.0","10.2 to 19.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$59,335","$53,360","$65,310","$53,360 to $65,310"
"2020","36","36013","Chautauqua County (NY)","121,212","17,909","14,966","20,852","14,966 to 20,852","14.8","12.4","17.2","12.4 to 17.2","24,817","4,823","3,353","6,293","3,353 to 6,293","19.4","13.5","25.3","13.5 to 25.3","18,073","3,478","2,372","4,584","2,372 to 4,584","19.2","13.1","25.3","13.1 to 25.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,062","$46,448","$53,676","$46,448 to $53,676"
"2020","36","36015","Chemung County (NY)","78,970","11,438","9,580","13,296","9,580 to 13,296","14.5","12.1","16.9","12.1 to 16.9","16,921","3,407","2,560","4,254","2,560 to 4,254","20.1","15.1","25.1","15.1 to 25.1","12,448","2,424","1,824","3,024","1,824 to 3,024","19.5","14.7","24.3","14.7 to 24.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,705","$49,250","$60,160","$49,250 to $60,160"
