County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Mon-Fri 10am-5pm, Sat-Sun 10am-4:30pm",June 14-November 20,M,Y,N,N,Y,42.72256,-74.01493,"(42.72256, -74.01493)"
Albany,Empire State Plaza Wed Farmers' Market,"Empire State Plaza, (Winter inside South Concourse)",170 State St,Albany,NY,12210,Nicholas DeBlois,5184863966,https://empirestateplaza.ny.gov/empire-state-plaza-farmers-market,Wednesday  10am-2pm,Year-round,YR,N,Y,N,Y,42.65068,-73.758,"(42.65068, -73.758)"
Albany,New Covenant Farmers' Market,"New Covenant Presbyterian Church, 916 Western Ave. Albany",916 Western Ave,Albany,NY,12203,Katy Stenta,5184828063,,Tuesday  3pm-6pm,May 17-September 27,M,N,N,N,Y,42.67228,-73.81026,"(42.67228, -73.81026)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Sunday  9am-4pm, Mon-Sat 9am-6pm",Year-round,YR,N,N,N,Y,42.71055,-73.92593,"(42.71055, -73.92593)"
Albany,Veggie Mobile-Arbor Hill/Oak Street Park,Oak Street & Second Street Albany,Second Street & Oak Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 12:45pm-1:30pm,Year-round,YR,N,Y,N,Y,42.6629,-73.76094,"(42.6629, -73.76094)"
Albany,Veggie Mobile-Center for Disability,700 South Pearl Street Albany,700 South Pearl Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,YR,N,Y,N,Y,42.63003,-73.76585,"(42.63003, -73.76585)"
Albany,Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza Cohoes,100 Cayuga Plaza,Cohoes,NY,12047,Audrey Bridge,5182748685,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,YR,N,Y,N,Y,42.77712,-73.70101,"(42.77712, -73.70101)"
Albany,Veggie Mobile-Howe Library,Schuyler & Broad St. Albany,Schuyler St and Broad Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,YR,N,Y,N,Y,42.64112,-73.75802,"(42.64112, -73.75802)"
Albany,Veggie Mobile-Koinonia Primary Care,553 Clinton Ave. & N. Lake Ave. Albany,553 Clinton Avenue,Albany,NY,12206,Audrey Bridge,5182748685,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,YR,N,Y,N,Y,42.66508,-73.76804,"(42.66508, -73.76804)"
Albany,Veggie Mobile-South Mall Towers,101 S. Pearl St. Albany,101 South Pearl Street,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,YR,N,Y,N,Y,42.6465,-73.75482,"(42.6465, -73.75482)"
Albany,Veggie Mobile Sprout-Creighton Storey Homes,158 3rd Street Albany,158 3rd Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu 3:45pm-4:15pm,Year-round,YR,N,Y,N,Y,42.66205,-73.7578,"(42.66205, -73.7578)"
Albany,Veggie Mobile Sprout-Robert Whalen,305 Colonie Street Albany,305 Colonie Street,Albany,NY,12210,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,YR,N,Y,N,Y,42.66338,-73.75595,"(42.66338, -73.75595)"
Albany,Veggie Mobile Sprout-St. Sophia Church,440 Whitehall Rd. Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-1:15pm,Year-round,YR,N,Y,N,Y,42.65197,-73.81477,"(42.65197, -73.81477)"
Albany,Veggie Mobile-Steamboat Square Apts,20 Rensselaer St. Albany,20 Rensselaer Street,Albany,NY,12202,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,YR,N,Y,N,Y,42.64093,-73.75363,"(42.64093, -73.75363)"
Albany,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace Albany,2 Thurlow Terrace,Albany,NY,12203,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,N,Y,N,Y,42.65998,-73.77276,"(42.65998, -73.77276)"
