Row Created Date Time,Service Year,OMH Region Code,OMH Region Label,County Label,Age Group,Rate Code Group,Recipient Count By County,Count Of  Recipients By Rate Code Group And County,Units Total,Paid Claim Total
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,ADULT,Clinic Treatment,435,323,3023,301130
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,ADULT,Community Residence,435,18,141,326026
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,ADULT,Health Home,435,37,168,79744
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,ADULT,Personalized Recovery Oriented Services,435,118,1080,462192
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,ADULT,"Targeted Case Management (ICM, BCM, SCM)",435,1,3,1776
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,CHILD,Clinic Treatment,150,95,620,63769
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,CHILD,Community Residence,150,1,12,8309
2018-04-27T10:06:00.000,2016,1,Western NY,Allegany,CHILD,"Targeted Case Management (ICM, BCM, SCM)",150,71,405,197685
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,Clinic Treatment,1164,680,3989,527434
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,Community Residence,1164,94,753,2367149
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,Continuing Day Treatment,1164,37,5563,281818
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,Health Home,1164,80,428,196357
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,Personalized Recovery Oriented Services,1164,164,1948,766951
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,Psychiatric Inpatient,1164,265,1538,1325680
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1164,6,31,14922
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,CHILD,Clinic Treatment,416,286,1901,233341
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,CHILD,Community Residence,416,18,124,913928
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,CHILD,Home and Community Based Services Waiver (HCBS),416,82,1315,1259214
2018-04-27T10:06:00.000,2016,1,Western NY,Cattaraugus,CHILD,"Targeted Case Management (ICM, BCM, SCM)",416,102,676,317981
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,Assertive Community Treatment,2407,56,371,562442
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,Clinic Treatment,2407,1858,11719,1200396
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,Community Residence,2407,158,1181,3486712
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,Health Home,2407,119,897,336955
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,Personalized Recovery Oriented Services,2407,307,2588,889971
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,Psychiatric Inpatient,2407,196,1150,1078326
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,ADULT,"Targeted Case Management (ICM, BCM, SCM)",2407,6,28,9222
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,CHILD,Clinic Treatment,745,656,4771,566749
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,CHILD,Community Residence,745,9,53,47919
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,CHILD,Psychiatric Inpatient,745,77,1101,791151
2018-04-27T10:06:00.000,2016,1,Western NY,Chautauqua,CHILD,"Targeted Case Management (ICM, BCM, SCM)",745,68,330,117075
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Assertive Community Treatment,1832,91,418,588964
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Clinic Treatment,1832,1329,10446,1033181
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Community Residence,1832,68,524,1014169
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Health Home,1832,51,221,86676
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Personalized Recovery Oriented Services,1832,239,3668,1184039
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Psychiatric Inpatient,1832,285,1841,1393886
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,ADULT,Psychiatric Inpatient OMH,1832,24,3340,4172442
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,CHILD,Clinic Treatment,677,520,4441,529838
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,CHILD,Community Residence,677,25,145,1009314
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,CHILD,Day Treatment,677,37,4497,1639315
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,CHILD,Psychiatric Inpatient OMH,677,143,4269,6693943
2018-04-27T10:06:00.000,2016,1,Western NY,Chemung,CHILD,"Targeted Case Management (ICM, BCM, SCM)",677,15,74,41390
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Assertive Community Treatment,10959,250,1929,2736004
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Clinic Treatment,10959,8319,80723,7504544
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Community Residence,10959,512,4989,12886777
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Comprehensive Psychiatric Emergency Program,10959,1146,1744,1290912
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Continuing Day Treatment,10959,328,40633,2004998
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Health Home,10959,1065,5548,2333212
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Intensive Psychiatric Rehabilitation Treatment,10959,35,1819,239291
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Partial Hospitalization,10959,76,741,92235
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Personalized Recovery Oriented Services,10959,709,9110,3463230
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Psychiatric Inpatient,10959,1038,8782,7576280
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,Psychiatric Inpatient OMH,10959,62,14163,17374689
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,ADULT,"Targeted Case Management (ICM, BCM, SCM)",10959,10,38,13960
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Clinic Treatment,5549,5019,51495,6558451
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Community Residence,5549,45,287,882017
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Comprehensive Psychiatric Emergency Program,5549,122,192,97589
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Day Treatment,5549,101,9103,1751849
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Health Home,5549,2,7,3045
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Home and Community Based Services Waiver (HCBS),5549,161,834,2107404
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Partial Hospitalization,5549,3,82,15681
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Psychiatric Inpatient,5549,108,1468,1122255
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Psychiatric Inpatient OMH,5549,189,11775,19152182
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,Residential Treatment Facility,5549,99,15965,7437898
2018-04-27T10:06:00.000,2016,1,Western NY,Erie,CHILD,"Targeted Case Management (ICM, BCM, SCM)",5549,277,1130,554516
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,ADULT,Clinic Treatment,648,517,3806,422268
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,ADULT,Community Residence,648,74,693,1827701
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,ADULT,Continuing Day Treatment,648,95,7346,383929
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,ADULT,Health Home,648,24,216,75384
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,ADULT,"Targeted Case Management (ICM, BCM, SCM)",648,2,9,3194
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,CHILD,Clinic Treatment,173,166,1155,128768
2018-04-27T10:06:00.000,2016,1,Western NY,Genesee,CHILD,Community Residence,173,2,2,778
